Date,eastshelb_total,eastshelb_ped_in,eastshelb_ped_out,eastshelb_cyc_in,eastshelb_cyc_out,hcc_total,hcc_ped_in,hcc_ped_out,hcc_cyc_in,hcc_cyc_out,shirley_total,shirley_ped_in,shirley_ped_out,shirley_cyc_in,shirley_cyc_out,southvernon_total,southvernon_ped_in,southvernon_ped_out,southvernon_cyc_in,southvernon_cyc_out,southside_total,southside_ped_in,southside_ped_out,southside_cyc_in,southside_cyc_out,northcreek_total,northcreek_ped_in,northcreek_ped_out,northcreek_cyc_in,northcreek_cyc_out,westhershey_total,westhershey_ped_in,westhershey_ped_out,westhershey_cyc_in,westhershey_cyc_out,westgrand_total,westgrand_ped_in,westgrand_ped_out,westgrand_cyc_in,westgrand_cyc_out,westrt9_total,westrt9_ped_in,westrt9_ped_out,westrt9_cyc_in,westrt9_cyc_out
27/04/2020,19,3,0,12,4,29,13,12,4,0,139,118,11,6,4,999,280,268,221,230,87,30,26,16,15,1057,311,296,214,236,1770,1114,371,141,144,824,231,225,192,176,120,25,21,37,37
28/04/2020,62,31,6,17,8,70,26,23,14,7,55,19,4,21,11,1438,369,304,361,404,123,46,40,18,19,1419,371,365,324,359,2373,1340,378,346,309,1344,311,273,368,392,198,19,24,85,70
29/04/2020,0,0,0,0,0,17,8,9,0,0,4,1,1,2,0,244,91,93,28,32,15,7,6,1,1,257,97,101,30,29,275,207,44,15,9,178,72,68,19,19,11,3,3,3,2
30/04/2020,21,8,2,8,3,58,26,25,2,5,16,3,3,5,5,1055,307,299,227,222,71,30,24,8,9,1154,373,356,192,233,1825,1233,265,156,171,881,256,233,195,197,99,14,16,33,36
1/5/2020,54,6,2,25,21,54,19,22,6,7,89,51,9,17,12,1413,342,307,388,376,101,33,35,14,19,1486,387,380,363,356,2707,1696,331,367,313,1229,249,269,356,355,172,27,25,67,53
2/5/2020,265,215,8,24,18,106,38,29,17,22,91,13,4,39,35,2070,430,380,619,641,101,32,31,15,23,1817,379,363,484,591,3484,1722,637,574,551,1889,381,320,590,598,323,37,28,141,117
3/5/2020,52,7,3,26,16,66,23,25,8,10,31,4,2,10,15,1371,291,296,394,390,112,29,27,30,26,1279,281,275,352,371,1653,760,209,359,325,1232,247,245,359,381,182,31,28,60,63
4/5/2020,16,2,1,11,2,35,15,14,3,3,6,4,1,1,0,822,229,219,192,182,65,25,22,9,9,835,252,255,160,168,1552,1043,246,133,130,729,207,195,153,174,89,14,17,31,27
5/5/2020,0,0,0,0,0,11,6,5,0,0,3,1,0,1,1,214,75,79,26,34,18,6,7,0,5,241,91,89,29,32,425,332,55,22,16,181,66,64,27,24,19,6,5,4,4
6/5/2020,109,92,5,9,3,69,25,22,11,11,28,8,4,9,7,1282,307,289,350,336,114,49,40,10,15,1335,370,343,310,312,2497,1521,432,293,251,1203,266,284,328,325,165,24,23,58,60
7/5/2020,74,59,2,7,6,76,29,25,9,13,26,8,4,10,4,1474,333,307,407,427,149,53,48,25,23,1404,350,323,368,363,2732,1674,462,305,291,1138,273,252,299,314,195,23,23,78,71
8/5/2020,3,2,1,0,0,13,4,6,2,1,6,1,0,3,2,792,241,227,149,175,55,28,24,1,2,759,255,233,137,134,1671,1257,241,95,78,615,197,169,120,129,56,11,15,16,14
9/5/2020,50,5,6,19,20,63,21,20,11,11,112,72,1,19,20,1334,307,279,376,372,69,19,18,13,19,1333,374,363,304,292,2582,1446,483,316,337,1284,308,298,332,346,185,19,19,79,68
10/5/2020,5,2,1,0,2,16,7,7,2,0,2,1,1,0,0,299,90,89,62,58,16,7,6,1,2,387,142,124,62,59,608,464,91,27,26,288,97,96,46,49,27,10,8,4,5
11/5/2020,14,3,2,4,5,33,11,13,6,3,14,2,0,7,5,639,199,182,132,126,99,34,29,16,20,742,233,230,141,138,1222,844,195,94,89,529,161,142,114,112,44,8,7,14,15
12/5/2020,28,3,6,9,10,52,15,15,10,12,469,438,4,18,9,1289,260,278,388,363,147,64,57,11,15,1282,339,307,315,321,2333,1330,398,311,294,1288,299,275,350,364,136,19,17,50,50
13/05/2020,5,0,0,3,2,49,18,24,3,4,18,3,4,7,4,760,200,194,177,189,84,34,30,12,8,862,274,263,159,166,1458,1004,206,139,109,748,211,204,168,165,50,16,13,11,10
14/05/2020,11,7,4,0,0,54,19,15,10,10,29,17,1,6,5,708,188,171,179,170,81,34,31,4,12,714,203,199,162,150,1268,743,246,142,137,593,155,148,137,153,78,15,12,26,25
15/05/2020,63,26,4,10,23,65,25,22,6,12,16,2,1,8,5,1224,263,233,370,358,102,36,33,16,17,1242,314,321,305,302,2416,1395,377,366,278,1218,262,260,350,346,188,29,27,72,60
16/05/2020,87,12,8,36,31,84,34,20,13,17,119,57,2,37,23,1939,362,321,623,633,111,40,32,18,21,1709,368,371,470,500,2861,1424,373,574,490,1750,353,325,533,539,257,29,24,105,99
